Node,Triangle_Count
999,51761
997,51726
993,51725
995,51725
985,51698
987,51698
989,51698
991,51698
981,51628
983,51628
979,51623
977,50186
975,50177
971,50176
973,50176
969,48985
965,48950
967,48950
957,48949
959,48949
961,48949
963,48949
953,48640
955,48640
949,47969
951,47969
947,47962
945,47820
941,47684
943,47684
939,47660
937,47657
935,47273
921,47235
923,47235
925,47235
927,47235
929,47235
931,47235
933,47235
917,47228
919,47228
913,47219
915,47219
911,47211
909,47210
907,47095
905,47092
903,47089
901,46872
895,46869
897,46869
899,46869
889,46843
891,46843
893,46843
887,46840
885,46832
883,46829
879,46676
881,46676
998,46128
1000,46128
990,46120
992,46120
994,46120
996,46120
988,46119
980,45729
982,45729
984,45729
986,45729
877,45424
974,44783
976,44783
978,44783
972,44740
966,44739
968,44739
970,44739
962,44692
964,44692
956,44684
958,44684
960,44684
954,44643
952,44640
950,44600
940,44066
942,44066
944,44066
946,44066
948,44066
930,44065
932,44065
934,44065
936,44065
938,44065
926,44064
928,44064
920,44016
922,44016
924,44016
918,43996
916,43988
912,43987
914,43987
908,43949
910,43949
875,43926
906,43916
902,43899
904,43899
896,43890
898,43890
900,43890
894,43881
882,43849
884,43849
886,43849
888,43849
890,43849
892,43849
871,43784
873,43784
867,43663
869,43663
863,43638
865,43638
849,43624
851,43624
853,43624
855,43624
857,43624
859,43624
861,43624
843,43618
845,43618
847,43618
880,43563
839,42878
841,42878
878,42808
876,42666
874,42664
868,41786
870,41786
872,41786
837,41609
831,41607
833,41607
835,41607
864,41569
866,41569
856,41551
858,41551
860,41551
862,41551
827,41547
829,41547
825,41544
823,41543
819,41529
821,41529
813,41500
815,41500
817,41500
854,41167
850,41164
852,41164
844,41162
846,41162
848,41162
840,41136
842,41136
838,41133
811,41115
832,41107
834,41107
836,41107
803,41033
805,41033
807,41033
809,41033
797,41012
799,41012
801,41012
795,40963
791,40753
793,40753
785,40751
787,40751
789,40751
783,40750
781,40701
777,40517
779,40517
771,40484
773,40484
775,40484
761,40483
763,40483
