Node,Triangle_Count
5,6
7,6
9,6
11,6
13,6
15,6
17,6
19,6
21,6
23,6
25,6
27,6
29,6
31,6
33,6
35,6
37,6
39,6
41,6
43,6
45,6
47,6
49,6
51,6
53,6
55,6
57,6
59,6
61,6
63,6
65,6
67,6
69,6
71,6
73,6
75,6
77,6
79,6
81,6
83,6
85,6
87,6
89,6
91,6
93,6
95,6
97,6
99,6
92,2
94,2
96,2
98,2
100,2
1,0
2,0
3,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
50,0
52,0
54,0
56,0
58,0
60,0
62,0
64,0
66,0
68,0
70,0
72,0
74,0
76,0
78,0
80,0
82,0
84,0
86,0
88,0
90,0
