Node,Triangle_Count
497,5575
499,5575
489,5566
491,5566
493,5566
495,5566
487,5560
485,5471
479,5467
481,5467
483,5467
500,5231
498,5222
496,5214
494,5206
469,5202
471,5202
473,5202
475,5202
477,5202
486,4934
488,4934
490,4934
492,4934
484,4928
467,4902
461,4901
463,4901
465,4901
459,4895
451,4892
453,4892
455,4892
457,4892
480,4861
482,4861
425,4821
427,4821
429,4821
431,4821
433,4821
435,4821
437,4821
439,4821
441,4821
443,4821
445,4821
447,4821
449,4821
478,4777
470,4776
472,4776
474,4776
476,4776
456,4774
458,4774
460,4774
462,4774
464,4774
466,4774
468,4774
419,4761
421,4761
423,4761
442,4755
444,4755
446,4755
448,4755
450,4755
452,4755
454,4755
440,4744
428,4714
430,4714
432,4714
434,4714
436,4714
438,4714
416,4709
418,4709
420,4709
422,4709
424,4709
426,4709
408,4706
410,4706
412,4706
414,4706
404,4676
406,4676
415,4664
417,4664
411,4621
413,4621
401,4424
403,4424
405,4424
407,4424
409,4424
402,4406
400,4376
396,4352
398,4352
394,4350
395,4287
397,4287
399,4287
393,4220
391,4219
387,4191
389,4191
385,4185
388,4031
390,4031
392,4031
383,3920
379,3905
381,3905
377,3899
380,3831
382,3831
384,3831
386,3831
370,3705
372,3705
374,3705
376,3705
378,3705
364,3645
366,3645
368,3645
362,3641
373,3620
375,3620
359,3613
361,3613
363,3613
365,3613
367,3613
369,3613
371,3613
360,3605
351,3589
353,3589
355,3589
357,3589
337,3588
339,3588
341,3588
343,3588
345,3588
347,3588
349,3588
329,3504
331,3504
333,3504
335,3504
323,3501
325,3501
327,3501
313,3493
315,3493
317,3493
319,3493
321,3493
358,3446
356,3428
354,3385
352,3376
350,3309
346,3306
348,3306
334,3300
336,3300
338,3300
340,3300
342,3300
344,3300
318,3295
320,3295
322,3295
324,3295
326,3295
328,3295
330,3295
332,3295
292,3240
294,3240
296,3240
298,3240
300,3240
302,3240
304,3240
306,3240
308,3240
310,3240
312,3240
314,3240
316,3240
286,3222
288,3222
290,3222
272,3219
274,3219
276,3219
278,3219
280,3219
282,3219
284,3219
266,3208
268,3208
270,3208
307,3152
309,3152
311,3152
297,3150
299,3150
301,3150
303,3150
305,3150
277,3138
279,3138
281,3138
283,3138
285,3138
287,3138
289,3138
291,3138
293,3138
295,3138
275,3137
273,3129
258,3115
260,3115
262,3115
264,3115
271,3062
252,2972
254,2972
256,2972
267,2902
269,2902
265,2787
257,2731
259,2731
261,2731
263,2731
255,2707
245,2706
247,2706
249,2706
251,2706
253,2706
243,2678
241,2663
239,2660
248,2510
250,2510
246,2509
238,2449
240,2449
242,2449
244,2449
235,2423
237,2423
234,2393
236,2393
232,2301
222,2279
224,2279
226,2279
228,2279
230,2279
233,2275
231,2133
218,2093
220,2093
192,1915
194,1915
196,1915
198,1915
200,1915
202,1915
204,1915
206,1915
208,1915
210,1915
212,1915
214,1915
216,1915
229,1846
223,1797
225,1797
227,1797
213,1619
215,1619
217,1619
219,1619
221,1619
188,1600
190,1600
211,1596
184,1533
186,1533
209,1529
207,1528
203,1523
205,1523
195,1456
197,1456
199,1456
201,1456
191,1438
193,1438
189,1429
183,1427
185,1427
187,1427
171,1422
173,1422
175,1422
177,1422
179,1422
181,1422
167,1421
169,1421
159,1309
161,1309
163,1309
165,1309
155,1302
157,1302
149,1290
151,1290
153,1290
147,1287
172,1282
174,1282
176,1282
178,1282
180,1282
182,1282
166,1060
168,1060
170,1060
162,1051
164,1051
160,1045
145,1031
127,1016
129,1016
131,1016
133,1016
135,1016
137,1016
139,1016
141,1016
143,1016
113,963
115,963
117,963
119,963
121,963
123,963
125,963
107,958
109,958
111,958
97,952
99,952
101,952
103,952
105,952
158,940
154,928
156,928
146,927
148,927
150,927
152,927
91,915
93,915
95,915
79,889
81,889
83,889
85,889
87,889
89,889
75,887
77,887
71,869
73,869
65,866
67,866
69,866
128,860
130,860
132,860
134,860
136,860
138,860
140,860
142,860
144,860
63,850
53,832
55,832
57,832
59,832
61,832
39,827
41,827
43,827
45,827
47,827
49,827
51,827
126,805
25,783
27,783
29,783
31,783
33,783
35,783
37,783
124,769
23,765
21,705
15,696
17,696
19,696
122,609
100,583
102,583
104,583
106,583
108,583
110,583
112,583
114,583
116,583
118,583
120,583
98,561
94,543
96,543
92,484
78,478
80,478
82,478
84,478
86,478
88,478
90,478
74,460
76,460
72,442
70,431
62,413
64,413
66,413
68,413
13,409
11,405
60,395
52,391
54,391
56,391
58,391
9,352
7,351
5,328
3,14
1,6
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
50,0
